User/Vedio,Yaw,Pitch,Roll,Time[s)
,180,2.83519,17.072,12.93808987
,180,2.84555,16.6004,12.96873048
,180,2.86938,16.1497,13.0001745
,180,2.943,15.6614,13.03543977
,179.266,3.02029,15.2731,13.06683789
,177.526,3.10567,14.9017,13.10153151
,176.156,3.19985,14.5982,13.13387818
,174.918,3.30882,14.3192,13.16738524
,173.693,3.44863,14.0276,13.20360816
,172.703,3.59718,13.7759,13.23513202
,171.698,3.78197,13.5045,13.27033287
,170.944,3.9568,13.2827,13.30165033
,170.304,4.1454,13.0819,13.33578745
,169.921,4.29043,12.955,13.36825557
,169.746,4.38389,12.8888,13.40320268
,169.715,4.42584,12.867,13.43381536
,169.73,4.49162,12.8489,13.46947321
,169.924,4.6689,12.834,13.50092779
,170.675,5.09568,12.8359,13.53589798
,171.592,5.4945,12.8637,13.5666917
,172.665,5.87469,12.9119,13.60265035
,173.407,6.0963,12.9524,13.63393473
,173.975,6.23766,12.9931,13.6699809
,174.286,6.29632,13.0224,13.70063576
,174.557,6.33205,13.0568,13.73588704
,174.777,6.35619,13.1017,13.767428
,175.101,6.39188,13.1934,13.80275058
,175.59,6.43746,13.3548,13.83393204
,176.516,6.52385,13.6638,13.86934556
,177.674,6.63921,14.0398,13.90092331
,179.244,6.79271,14.5142,13.93610533
,180,6.93385,14.9363,13.96745842
,180,7.05895,15.39,14.00204002
,180,7.15256,15.8233,14.03811413
,180,7.22265,16.1672,14.06851868
,180,7.29306,16.528,14.10059051
,180,7.39007,16.9028,14.13559464
,180,7.46798,17.2234,14.16698908
,180,7.51714,17.5165,14.2016351
,180,7.51977,17.71,14.23389082
,180,7.49622,17.8506,14.26864176
,180,7.45118,17.9573,14.30024146
,180,7.37815,18.0651,14.3354557
,180,7.28437,18.1479,14.36683787
,180,7.1442,18.2145,14.40213365
,180,6.9904,18.2462,14.43652137
,180,6.85433,18.2535,14.46774389
,180,6.73349,18.2509,14.50239221
,180,6.67027,18.241,14.53453104
,180,6.62731,18.2279,14.56901256
,180,6.59635,18.212,14.60041754
,180,6.56595,18.1849,14.63545558
,180,6.53042,18.1378,14.67122207
,180,6.48616,18.0649,14.70290957
,180,6.42754,17.9501,14.73452154
,180,6.33896,17.7812,14.76919836
,180,6.21466,17.5435,14.80056969
,180,6.00775,17.0706,14.83585292
,180,5.77082,16.4942,14.86705975
,180,5.49138,15.738,14.90151876
,180,5.24848,14.9678,14.93398461
,180,4.97419,14.1852,14.9679538
,180,4.72312,13.4624,15.00060012
,180,4.49673,12.7498,15.03557944
,180,4.29651,12.1716,15.06703488
,180,4.08955,11.565,15.10262574
,180,3.90472,11.0732,15.13372679
,179.102,3.66583,10.5534,15.16925948
,177.567,3.43988,10.0867,15.2039152
,176.237,3.24787,9.7166,15.23485888
,174.853,3.0712,9.3466,15.26738573
,173.455,2.94473,8.9627,15.30157502
,171.968,2.85765,8.5629,15.33695718
,170.606,2.81006,8.2139,15.36813807
,169.018,2.79033,7.8275,15.40331354
,167.531,2.78324,7.495,15.43476841
,165.751,2.76231,7.1102,15.47048158
,164.116,2.73383,6.7464,15.5015906
,162.24,2.70377,6.3246,15.53627054
,160.508,2.66073,5.9526,15.56737501
,158.421,2.56148,5.5631,15.60333907
,156.456,2.3908,5.2801,15.63477827
,154.137,2.07093,5.0187,15.66937755
,151.905,1.65449,4.8203,15.70127177
,149.51,1.08031,4.6811,15.73609143
,147.482,0.46883,4.6139,15.76761101
,145.445,-0.28159,4.5779,15.80330736
,143.832,-0.99979,4.5877,15.83388981
,142.065,-1.92649,4.6776,15.86976749
,140.557,-2.82819,4.8303,15.90094012
,138.949,-3.86589,5.0765,15.93597104
,137.646,-4.69459,5.3405,15.96736917
,136.252,-5.51609,5.6811,16.0018125
,134.779,-6.26329,6.026,16.03763145
,133.439,-6.78689,6.288,16.06891583
,132.076,-7.15339,6.5147,16.10045593
,130.598,-7.37789,6.7349,16.13525933
,129.138,-7.48309,6.9383,16.17026602
,127.782,-7.50599,7.0959,16.20129266
,126.091,-7.50599,7.2457,16.23691973
,124.416,-7.50919,7.3765,16.26833269
,122.522,-7.54739,7.5422,16.30014849
,120.199,-7.70039,7.8175,16.33547505
,117.773,-8.04449,8.2131,16.36992551
,115.396,-8.59629,8.7328,16.40104995
,112.631,-9.51399,9.4933,16.43566917
,110.007,-10.65359,10.3488,16.46782254
,107.12,-12.21269,11.4798,16.50350548
,104.703,-13.80199,12.5736,16.53405086
,102.031,-15.90989,13.9464,16.56932211
,99.7396,-18.03309,15.3057,16.60104954
,97.3842,-20.37739,16.8144,16.63662757
,95.4979,-22.37269,18.1153,16.66739278
,93.4744,-24.59399,19.6022,16.70236838
,91.7953,-26.52229,20.8981,16.7342412
,90.1268,-28.48109,22.2793,16.7696265
,88.8353,-29.83309,23.2751,16.80028166
,87.4937,-31.00629,24.1561,16.83546026
,86.2416,-31.97969,24.8982,16.87053593
,85.2108,-32.73479,25.5022,16.90202104
,84.3134,-33.32889,25.9994,16.93351524
,83.4695,-33.83969,26.4463,16.96861544
